market,ticker,yfSymbol,assetType,dividendYield,dividendPolicy,dividendSource,yieldStatus,reviewReason,latestClose,ttmDividend,dividendCount12m
US,AEG,AEG,stock,2.52,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,8.7401,0.22,1
US,AEI,AEI,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,1.64,0.0,0
US,AEM,AEM,stock,0.94,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,176.470001,1.65,4
US,AEP,AEP,stock,2.9,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,130.190002,3.78,4
US,AER,AER,stock,0.75,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,142.375,1.07,3
US,AES,AES,stock,4.8,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,14.67,0.704,4
US,AFCG,AFCG,stock,9.46,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,3.7,0.35,3
US,AFG,AFG,stock,5.13,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,135.199997,6.94,6
US,AFL,AFL,stock,2.04,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,116.410004,2.38,4
US,AFRM,AFRM,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,70.764999,0.0,0
US,AFYA,AFYA,stock,4.66,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,14.075,0.656,1
US,AGCO,AGCO,stock,1.02,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,114.870003,1.17,4
US,AGI,AGI,stock,0.17,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,39.119999,0.065,2
US,AGNC,AGNC,stock,13.6,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,10.585,1.44,12
US,AGNT,AGNT,stock,4.04,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,4.95,0.2,4
US,AHR,AHR,stock,1.97,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,50.810001,1.0,4
US,AHRT,AHRT,stock,8.06,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,6.945,0.56,4
US,AHT,AHT,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,2.9,0.0,0
US,AIB,AIB,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,2.9803,0.0,0
US,AIG,AIG,stock,2.34,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,76.934998,1.8,4
US,AIRE,AIRE,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,2.23,0.0,0
US,AIT,AIT,stock,0.62,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,312.279999,1.94,4
US,AIV,AIV,stock,86.89,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,4.235,3.68,2
US,AIXC,AIXC,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,1.28,0.0,0
US,AIYY,AIYY,ETF,168.24,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,9.4895,15.965,37
US,AIZ,AIZ,stock,1.31,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,256.519989,3.36,4
US,AJG,AJG,stock,1.27,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,208.044907,2.65,4
US,AKAM,AKAM,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,143.279999,0.0,0
US,AKR,AKR,stock,3.57,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,22.42,0.8,4
US,ALAB,ALAB,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,307.954987,0.0,0
US,ALB,ALB,stock,0.91,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,177.800003,1.62,4
US,ALBG,ALBG,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,13.53,0.0,0
US,ALC,ALC,stock,0.53,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,67.550003,0.358,1
US,ALGM,ALGM,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,48.98,0.0,0
US,ALGN,ALGN,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,166.240005,0.0,0
US,ALL,ALL,stock,1.91,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,213.369995,4.08,4
US,ALLE,ALLE,stock,0.8,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,133.080002,1.06,2
US,ALLY,ALLY,stock,2.77,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,43.375,1.2,4
US,ALNY,ALNY,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,297.92749,0.0,0
US,ALSN,ALSN,stock,0.97,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,115.089996,1.12,4
US,ALTY,ALTY,ETF,7.36,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,12.3971,0.913,12
US,ALV,ALV,stock,2.0,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,129.529999,2.59,3
US,ALX,ALX,stock,7.22,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,249.405106,18.0,4
US,AM,AM,stock,4.19,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,21.475,0.9,4
US,AMAT,AMAT,stock,0.43,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,443.529999,1.91,4
US,AMAX,AMAX,ETF,10.57,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,7.935,0.839,12
US,AMBO,AMBO,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,2.5,0.0,0
US,AMCR,AMCR,stock,1.63,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,39.849998,0.65,1
US,AMD,AMD,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,491.679993,0.0,0
US,AMDD,AMDD,ETF,16.42,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,3.325,0.546,4
US,AMDG,AMDG,ETF,2.77,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,107.205002,2.968,1
US,AMDL,AMDL,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,63.290001,0.0,0
US,AMDY,AMDY,ETF,60.53,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,55.580002,33.645,37
US,AME,AME,stock,0.56,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,227.470001,1.27,4
US,AMGN,AMGN,stock,2.87,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,340.98999,9.8,4
US,AMH,AMH,stock,3.83,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,32.145,1.23,4
US,AMJB,AMJB,ETF,5.52,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,35.884998,1.98,4
US,AMKR,AMKR,stock,0.48,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,70.309998,0.334,4
US,AMLP,AMLP,ETF,7.6,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,52.860001,4.02,4
US,AMP,AMP,stock,1.45,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,447.220001,6.5,4
US,AMT,AMT,stock,3.69,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,186.649994,6.89,4
US,AMUN,AMUN,ETF,1.64,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,26.065001,0.427,7
US,AMUU,AMUU,ETF,3.41,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,222.125,7.585,5
US,AMX,AMX,stock,1.07,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,25.780001,0.277,1
US,AMZD,AMZD,ETF,3.71,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,8.46,0.314,4
US,AMZN,AMZN,stock,0.0,no_dividend_confirmed,no_dividend_policy_manual_202605,ready,,269.63501,0.0,0
US,AMZO,AMZO,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,14.64,0.0,0
US,AMZU,AMZU,ETF,4.81,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,43.869999,2.109,5
US,AMZY,AMZY,ETF,52.96,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,12.28,6.503,37
US,AMZZ,AMZZ,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,40.310001,0.0,0
US,AN,AN,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,197.860001,0.0,0
US,ANEL,ANEL,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,18.959999,0.0,0
US,ANET,ANET,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,153.960007,0.0,0
US,ANF,ANF,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,84.620003,0.0,0
US,ANGL,ANGL,ETF,6.36,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,29.135,1.853,12
US,AOA,AOA,ETF,2.05,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,97.809998,2.007,4
US,AOK,AOK,ETF,3.29,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,41.419998,1.361,12
US,AOM,AOM,ETF,2.99,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,49.740002,1.485,4
US,AOMD,AOMD,stock,7.22,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,25.299999,1.827,3
US,AOMN,AOMN,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,25.014999,0.0,0
US,AOMR,AOMR,stock,15.29,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,8.37,1.28,4
US,AON,AON,stock,0.48,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,323.654999,1.565,2
US,AOR,AOR,ETF,2.47,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,69.410004,1.716,4
US,AOS,AOS,stock,2.4,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,59.200001,1.42,4
US,APA,APA,stock,2.73,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,36.57,1.0,4
US,APCB,APCB,ETF,4.36,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,29.3204,1.279,12
US,APD,APD,stock,2.5,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,287.429993,7.18,4
US,APEI,APEI,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,52.779999,0.0,0
US,APG,APG,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,42.299999,0.0,0
US,APH,APH,stock,0.59,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,141.210007,0.83,4
US,APIE,APIE,ETF,3.43,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,38.470001,1.318,1
US,APLE,APLE,stock,6.46,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,14.86,0.96,12
US,APLX,APLX,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,32.869999,0.0,0
US,APLY,APLY,ETF,33.43,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,12.875,4.304,37
US,APLZ,APLZ,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,3.0574,0.0,0
US,APO,APO,stock,1.59,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,131.451996,2.093,4
US,APP,APP,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,563.965027,0.0,0
US,APPF,APPF,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,166.255005,0.0,0
US,APPX,APPX,ETF,19.35,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,51.560001,9.975,1
US,APRH,APRH,ETF,6.4,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,25.370001,1.624,4
US,APRJ,APRJ,ETF,5.26,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,25.110001,1.322,4
US,APTV,APTV,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,61.700001,0.0,0
US,APUE,APUE,ETF,0.75,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,45.990002,0.347,1
US,AR,AR,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,35.419998,0.0,0
US,ARBK,ARBK,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,3.67,0.0,0
US,ARCC,ARCC,stock,10.12,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,18.975,1.92,4
US,ARCX,ARCX,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,21.93,0.0,0
US,ARE,ARE,stock,8.21,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,49.709999,4.08,4
US,ARES,ARES,stock,3.68,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,128.054993,4.71,4
US,ARGX,ARGX,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,832.280029,0.0,0
US,ARI,ARI,stock,9.11,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,10.975,1.0,4
US,ARKB,ARKB,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,24.870001,0.0,0
US,ARKF,ARKF,ETF,0.1,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,41.259998,0.043,1
US,ARKG,ARKG,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,32.174999,0.0,0
US,ARKK,ARKK,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,78.220001,0.0,0
US,ARKQ,ARKQ,ETF,0.22,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,138.960007,0.306,1
US,ARKW,ARKW,ETF,1.6,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,147.044998,2.352,1
US,ARL,ARL,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,16.700001,0.0,0
US,ARM,ARM,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,305.01001,0.0,0
US,ARMG,ARMG,ETF,0.81,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,34.0,0.277,1
US,ARMK,ARMK,stock,0.88,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,52.880001,0.465,4
US,ARR,ARR,stock,16.78,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,17.159,2.88,12
US,ARW,ARW,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,216.130005,0.0,0
US,AS,AS,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,37.150002,0.0,0
US,ASHR,ASHR,ETF,2.11,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,35.955002,0.758,1
US,ASMG,ASMG,ETF,5.82,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,43.505001,2.531,1
US,ASML,ASML,stock,0.55,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,1590.329956,8.771,4
US,ASMU,ASMU,ETF,0.18,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,28.690001,0.053,1
US,ASND,ASND,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,237.179993,0.0,0
US,ASR,ASR,stock,8.44,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,304.681213,25.714,1
US,ASTX,ASTX,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,65.345001,0.0,0
US,ASX,ASX,stock,0.93,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,38.48,0.356,1
US,ATHR,ATHR,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,3.79,0.0,0
US,ATI,ATI,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,168.449997,0.0,0
US,ATO,ATO,stock,2.69,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,176.050003,4.74,5
US,ATR,ATR,stock,1.61,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,117.290001,1.89,4
US,AU,AU,stock,3.75,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,95.055,3.565,4
US,AVB,AVB,stock,3.75,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,187.255005,7.03,4
US,AVDE,AVDE,ETF,2.5,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,91.675003,2.288,3
US,AVDV,AVDV,ETF,2.72,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,109.900002,2.989,3
US,AVEM,AVEM,ETF,2.01,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,96.690002,1.946,3
US,AVGG,AVGG,ETF,1.71,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,35.650002,0.611,1
US,AVGO,AVGO,stock,0.59,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,419.554993,2.48,4
US,AVGU,AVGU,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,45.73,0.0,0
US,AVGX,AVGX,ETF,1.27,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,61.0,0.775,1
US,AVIG,AVIG,ETF,4.4,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,41.415001,1.822,12
US,AVL,AVL,ETF,22.3,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,57.966,12.927,5
US,AVLV,AVLV,ETF,1.07,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,90.540001,0.972,4
US,AVMU,AVMU,ETF,3.52,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,46.189999,1.628,12
US,AVRE,AVRE,ETF,3.4,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,48.080002,1.637,4
US,AVS,AVS,ETF,3.85,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,7.45,0.287,4
US,AVSC,AVSC,ETF,0.91,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,69.599998,0.632,4
US,AVSF,AVSF,ETF,4.37,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,46.619999,2.039,12
US,AVTR,AVTR,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,8.405,0.0,0
US,AVUS,AVUS,ETF,0.91,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,127.154999,1.158,4
US,AVUV,AVUV,ETF,1.27,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,121.945,1.553,4
US,AVXX,AVXX,ETF,0.96,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,9.04,0.087,1
US,AVY,AVY,stock,2.31,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,162.664993,3.76,4
US,AWK,AWK,stock,2.7,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,125.120003,3.379,4
US,AXON,AXON,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,388.190002,0.0,0
US,AXP,AXP,stock,1.08,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,316.684998,3.41,4
US,AXPG,AXPG,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,11.9,0.0,0
US,AXR,AXR,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,27.32,0.0,0
US,AXS,AXS,stock,0.89,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,98.589996,0.88,2
US,AXTA,AXTA,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,31.025,0.0,0
US,AYI,AYI,stock,0.25,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,299.170013,0.74,4
US,AZN,AZN,stock,1.69,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,188.104996,3.183,2
US,AZO,AZO,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,3051.209961,0.0,0
US,BA,BA,stock,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,225.380005,0.0,0
US,BAB,BAB,ETF,4.12,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,26.674999,1.099,12
US,BABA,BABA,stock,1.57,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,127.75,2.0,1
US,BABO,BABO,ETF,83.95,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,9.7207,8.161,37
US,BABU,BABU,ETF,0.36,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,13.51,0.048,1
US,BABX,BABX,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,24.809999,0.0,0
US,BAC,BAC,stock,2.11,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,52.080002,1.1,4
US,BAGY,BAGY,ETF,51.4,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,high dividend yield; verify special distribution or stale price,29.26,15.039,12
US,BAH,BAH,stock,2.76,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,81.224998,2.24,4
US,BAIG,BAIG,ETF,11.91,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,39.880001,4.75,1
US,BALI,BALI,ETF,7.71,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,34.0401,2.623,12
US,BALL,BALL,stock,1.39,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,57.380001,0.8,4
US,BALQ,BALQ,ETF,3.78,dividend_confirmed,yfinance_ttm_dividend_20260527,ready,,57.540001,2.176,5
US,BALT,BALT,ETF,,dividend_review_required,yfinance_ttm_dividend_20260527,review_required,no recent dividend history; not confirmed no-dividend,34.130001,0.0,0
