planType,market,ticker,assetType,priority,scenarioGrade,metricsStatus,targetBenchmarkId,requiredSeries,blockedSeries,sourceHint,outputPath,status,reasonCodes
asset,US,IVV,ETF,P0_representative,B,ready,SP500_TR,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return|monthly_fx_return_usd_krw,monthly_total_return|monthly_dividend_amount|monthly_fx_return_usd_krw,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
asset,US,QQQ,ETF,P0_representative,B,ready,SP500_TR,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return|monthly_fx_return_usd_krw,monthly_total_return|monthly_dividend_amount|monthly_fx_return_usd_krw,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
asset,US,QQQM,ETF,P0_representative,B,ready,SP500_TR,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return|monthly_fx_return_usd_krw,monthly_total_return|monthly_dividend_amount|monthly_fx_return_usd_krw,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|shorter_than_10y_no_proxy_recorded|less_than_10_year_overlay_window
asset,US,SCHB,ETF,P0_representative,B,ready,SP500_TR,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return|monthly_fx_return_usd_krw,monthly_total_return|monthly_dividend_amount|monthly_fx_return_usd_krw,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
asset,US,SPY,ETF,P0_representative,B,ready,SP500_TR,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return|monthly_fx_return_usd_krw,monthly_total_return|monthly_dividend_amount|monthly_fx_return_usd_krw,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
asset,US,VOO,ETF,P0_representative,B,ready,SP500_TR,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return|monthly_fx_return_usd_krw,monthly_total_return|monthly_dividend_amount|monthly_fx_return_usd_krw,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
asset,US,VTI,ETF,P0_representative,B,ready,SP500_TR,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return|monthly_fx_return_usd_krw,monthly_total_return|monthly_dividend_amount|monthly_fx_return_usd_krw,src/data/tickers/us_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/us_dividend_overlay_20260527.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|fx_required_for_krw_mode_but_no_fx_series_committed|less_than_10_year_overlay_window
asset,KR,000020,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000050,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000070,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000080,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000100,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000105,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000120,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000140,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000150,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000155,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000157,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000180,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000210,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000220,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000230,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000240,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000250,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000270,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000320,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000370,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000390,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000400,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000430,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000440,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000480,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000490,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000500,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000520,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000540,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000590,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000640,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000650,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|no_dividend_time_series|less_than_10_year_overlay_window
asset,KR,000660,stock,P1_ready_overlay,B,ready,KR_BENCHMARK_POLICY_REVIEW,monthly_price_return|monthly_close_price|monthly_total_return|monthly_dividend_amount|monthly_benchmark_return,monthly_total_return|monthly_dividend_amount,src/data/tickers/kr_price_metrics_overlay_20260528_app_ready.csv|src/data/tickers/kr_stock_dividend_overlay_20260525.csv,data/processed/scenario_monthly_returns.csv,provider_refetch_required,close_price_metrics_overlay_present|source_series_not_committed_provider_refetch_required|no_monthly_total_return_series|dividend_yield_overlay_only_no_dividend_time_series|less_than_10_year_overlay_window
