market,ticker,dividendYield
KR,014950,0.3
KR,014970,1.31
KR,015230,2.82
KR,015360,8.1
KR,015710,4.2
KR,015750,2.9
KR,015760,3.2
KR,015860,2.8
KR,015890,4.8
KR,016090,4.5
KR,016360,5.0
KR,016380,5.4
KR,016450,11.7
KR,016580,2.5
KR,016590,1.65
KR,016610,4.0
KR,016710,2.8
KR,016740,3.2
KR,016800,2.0
KR,016920,0.9
KR,017370,0.5
KR,017390,4.2
KR,017480,6.3
KR,017510,2.5
KR,017550,0.6
KR,017650,1.2
KR,017670,3.1
KR,017800,14.2
KR,017810,0.8
KR,017860,0.05
KR,017890,1.0
KR,017900,2.77
KR,017940,4.6
KR,017960,1.01
KR,018120,6.7
KR,018250,1.3
KR,018260,1.9
KR,018310,1.52
KR,018500,3.6
KR,018670,4.0
KR,019010,2.6
KR,019180,1.5
KR,019210,3.4
KR,019540,3.6
KR,019680,3.1
KR,019770,1.69
KR,019990,1.19
KR,020000,4.0
KR,020180,2.8
KR,020400,0.9
KR,020710,7.8
KR,021080,4.5
KR,021320,3.5
KR,021650,4.2
KR,021820,1.74
KR,022100,0.3
KR,023000,4.45
KR,023150,5.0
KR,023160,2.33
KR,023350,3.1
KR,023410,4.3
KR,023450,2.9
KR,023530,4.6
KR,023590,3.0
KR,023600,2.1
KR,023760,4.8
KR,023800,4.2
KR,023810,2.0
KR,023900,2.15
KR,023910,3.3
KR,024060,0.2
KR,024070,2.5
KR,024090,6.31
KR,024110,4.2
KR,024120,6.7
KR,024720,2.9
KR,024830,2.0
KR,024880,11.0
KR,024900,2.8
KR,024940,0.63
KR,024950,2.37
KR,025000,6.8
KR,025530,6.4
KR,025540,3.6
KR,025770,3.73
KR,025820,1.67
KR,025860,1.3
KR,025880,5.9
KR,025950,0.83
KR,026040,3.2
KR,026150,0.5
KR,026940,3.8
KR,026960,3.9
KR,027360,2.1
KR,027410,3.2
KR,027710,8.5
KR,028050,3.2
KR,028100,3.3
KR,028260,1.2
KR,028670,3.82
KR,029460,1.3
KR,029530,1.96
KR,029780,5.3
KR,030000,5.4
KR,030190,3.04
KR,030200,4.2
KR,030210,5.3
KR,030520,1.7
KR,030610,4.7
KR,030960,0.59
KR,031210,5.2
KR,031330,6.1
KR,031430,3.3
KR,031440,1.9
KR,031510,1.8
KR,031980,2.3
KR,032190,2.8
KR,032280,2.84
KR,032300,0.4
KR,032540,5.5
KR,032560,2.49
KR,032620,1.3
KR,032640,4.3
KR,032750,2.3
KR,032830,3.3
KR,032850,1.3
KR,032960,3.0
KR,033100,3.0
KR,033130,2.4
KR,033160,1.5
KR,033270,3.1
KR,033320,1.2
KR,033500,1.5
KR,033530,1.8
KR,033780,4.1
KR,033830,2.2
KR,034120,1.8
KR,034230,0.9
KR,034310,4.1
KR,034590,5.2
KR,034730,2.5
KR,034810,2.9
KR,034830,5.3
KR,034950,8.2
KR,035000,7.6
KR,035080,1.7
KR,035150,2.2
KR,035200,2.13
KR,035250,4.9
KR,035420,1.0
KR,035510,3.13
KR,035600,5.5
KR,035720,0.1
KR,035810,23.8
KR,035890,6.16
KR,035900,1.4
KR,036010,0.4
KR,036030,4.8
KR,036120,3.7
KR,036190,5.2
KR,036200,0.9
KR,036220,2.0
KR,036460,2.8
KR,036480,1.0
KR,036530,5.2
KR,036560,5.0
KR,036570,0.5
KR,036580,1.4
KR,036630,2.7
KR,036640,5.4
KR,036670,3.8
KR,036710,0.4
KR,036800,4.3
KR,036830,0.96
KR,036890,2.5
KR,036930,0.2
KR,037070,1.9
KR,037230,2.5
KR,037270,0.4
KR,037330,2.5
KR,037350,3.92
KR,037400,2.0
KR,037440,2.19
KR,037460,3.8
KR,037710,7.13
KR,037760,2.8
KR,038010,2.0
KR,038070,1.5
KR,038110,1.7
KR,038290,2.8
KR,038390,6.2
KR,038500,2.5
KR,038680,2.9
KR,038950,1.5
KR,039010,4.55
KR,039020,1.2
KR,039030,0.5
KR,039130,2.44
KR,039240,4.2
KR,039340,2.7
KR,039420,3.44
KR,039440,0.5
KR,039490,3.9
KR,039560,0.52
KR,039570,5.3
KR,039830,3.9
KR,040420,8.23
KR,041440,0.81
KR,041460,2.5
KR,041510,1.3
KR,041520,5.1
KR,041650,1.82
KR,041830,1.72
KR,041930,4.5
KR,042110,3.81
KR,042370,0.68
KR,042420,1.9
KR,042500,7.4
KR,042700,0.4
KR,043150,1.5
KR,043360,0.0
KR,043370,3.3
KR,043650,1.92
KR,044340,1.72
KR,044450,4.77
KR,044820,5.6
KR,044960,1.8
KR,044990,1.4
KR,045060,2.1
KR,045300,0.7
KR,045340,1.4
KR,045660,3.45
KR,046310,2.9
KR,046440,5.2
KR,046940,3.4
KR,047050,2.9
KR,047810,0.3
KR,048430,2.4
KR,048470,1.05
KR,048770,0.4
KR,048830,3.07
KR,048910,2.0
KR,049070,1.3
KR,049430,4.71
KR,049480,1.05
KR,049520,11.7
KR,049720,4.6
KR,049800,1.67
KR,049830,1.7
KR,049960,4.4
KR,050860,2.2
KR,050890,0.6
KR,050960,3.2
KR,051360,2.2
KR,051380,3.4
KR,051390,5.8
KR,051490,2.3
KR,051500,1.7
KR,051600,3.1
KR,051900,0.7
KR,051910,0.6
KR,052260,1.6
KR,052330,3.3
KR,052400,2.6
KR,052460,3.6
KR,052600,4.5
KR,052690,1.48
KR,052960,0.7
KR,053050,1.6
KR,053160,1.9
KR,053210,7.2
KR,053260,4.1
KR,053270,3.29
KR,053280,6.8
KR,053300,3.2
KR,053580,2.0
KR,053610,1.2
KR,053620,6.0
KR,053690,2.27
KR,053700,1.25
KR,053800,2.2
KR,053980,4.01
KR,054040,5.8
KR,054050,3.0
KR,054210,1.11
KR,054540,1.12
KR,054670,1.4
KR,054800,2.5
KR,054930,3.8
KR,054950,2.5
KR,055490,1.3
KR,055550,2.6
KR,056190,3.96
KR,057030,3.2
KR,057050,4.7
KR,058400,3.52
KR,058430,2.6
KR,058470,1.3
KR,058610,0.3
KR,058630,3.3
KR,058650,2.5
KR,058850,3.4
KR,058860,5.0
KR,059100,2.9
KR,059210,2.1
KR,060250,1.7
KR,060260,0.8
KR,060280,0.0
KR,060370,0.52
KR,060380,3.1
KR,060480,1.9
KR,060540,3.7
KR,060560,1.3
KR,060720,3.2
KR,060850,1.86
KR,060980,4.4
KR,062040,0.9
KR,063570,3.5
KR,063760,4.08
KR,064350,0.3
KR,064400,2.6
KR,064480,2.5
KR,064760,1.0
KR,064820,3.8
KR,064850,2.82
KR,064960,4.9
KR,065350,0.2
KR,065370,2.7
KR,065450,0.8
KR,065510,2.7
KR,065530,3.6
KR,065680,1.0
KR,065710,10.3
KR,065950,1.16
KR,066130,3.1
KR,066310,1.38
KR,066570,1.3
KR,066620,2.15
KR,067010,1.8
KR,067080,0.9
KR,067160,4.9
KR,067280,4.1
KR,067310,0.28
KR,067570,6.3
KR,067730,5.4
KR,067830,0.9
KR,067900,1.48
KR,067920,3.9
KR,067990,8.3
KR,068270,0.4
KR,068290,1.8
KR,068760,0.3
KR,068790,3.95
KR,068930,6.0
KR,069080,5.1
KR,069260,4.9
KR,069510,5.3
KR,069620,0.3
KR,069730,11.0
KR,069960,2.1
KR,071050,4.0
KR,071200,3.1
KR,071280,0.57
KR,071320,6.65
KR,071840,4.1
KR,072020,2.0
KR,072130,2.0
KR,072470,1.7
KR,072710,3.4
KR,072870,11.5
KR,072950,1.3
KR,072990,0.8
KR,073010,0.4
KR,073110,4.4
KR,073490,0.4
KR,073540,3.6
KR,073560,8.6
KR,074600,0.6
KR,075130,4.0
KR,075180,4.2
KR,075580,1.3
KR,075970,3.4
KR,076340,4.1
KR,077500,3.2
KR,078000,4.2
KR,078020,8.88
KR,078070,2.2
KR,078140,0.4
KR,078150,1.08
KR,078340,3.8
KR,078520,4.0
KR,078600,0.15
KR,078890,1.2
KR,078930,4.3
KR,079000,6.1
KR,079170,3.16
KR,079370,0.4
KR,079430,2.0
KR,079550,0.7
KR,079900,2.5
KR,079940,0.31
KR,079960,1.7
KR,080010,2.9
KR,080160,3.39
KR,080470,1.7
KR,080520,3.15
KR,081000,2.4
KR,081150,1.76
KR,081580,2.2
KR,081660,3.84
KR,082850,1.2
KR,082920,1.4
KR,083420,4.3
KR,083450,2.4
KR,083500,2.4
KR,083550,1.54
KR,083930,3.5
KR,084010,2.5
KR,084110,1.62
KR,084370,0.18
KR,084690,3.2
KR,084730,3.1
KR,084870,2.5
KR,085310,0.8
KR,085670,1.98
KR,085910,2.28
KR,086060,1.25
KR,086280,2.3
KR,086450,1.1
KR,086670,4.76
KR,086710,2.15
KR,086790,4.0
KR,086900,1.0
KR,088130,3.76
KR,088790,7.45
KR,088910,2.4
KR,089010,0.74
KR,089030,0.3
KR,089150,2.7
KR,089470,2.8
KR,089600,5.6
KR,089850,1.2
KR,089860,3.7
KR,089980,1.22
KR,090350,4.6
KR,090430,0.9
KR,090460,1.45
KR,090470,1.07
KR,090850,4.2
KR,091580,0.6
KR,091590,2.55
KR,091700,4.31
KR,092070,0.5
KR,092130,4.7
KR,092230,7.1
KR,092300,2.1
KR,092440,4.2
KR,092460,3.55
KR,092730,3.9
KR,092780,2.36
KR,092790,8.12
KR,092870,0.4
KR,093050,3.4
KR,093190,5.0
KR,093320,0.5
KR,093380,2.6
KR,093520,5.4
KR,093920,6.2
KR,094170,0.61
KR,094280,5.7
KR,094360,0.6
KR,094480,0.5
KR,094820,2.8
KR,094850,2.5
KR,094970,2.15
KR,095340,0.8
KR,095500,0.6
KR,095570,6.2
KR,095610,2.1
KR,095660,1.2
KR,095720,6.4
KR,096240,6.6
KR,096250,0.75
KR,096530,4.1
KR,096760,5.6
KR,097520,3.5
KR,097950,2.8
KR,098070,1.2
KR,098120,0.6
KR,098460,0.4
KR,099190,0.6
KR,099320,0.16
KR,099390,3.2
KR,099430,1.4
KR,100120,3.45
KR,100220,4.5
KR,100250,6.1
KR,100660,0.2
KR,100700,2.8
KR,100840,3.0
KR,101160,0.47
KR,101170,0.38
KR,101330,4.35
KR,101490,0.4
KR,101530,3.53
KR,101930,1.6
KR,102120,1.9
KR,102260,3.4
KR,102710,0.4
KR,103140,1.4
KR,103590,0.9
KR,104460,4.82
KR,104700,7.4
KR,104830,1.6
KR,105560,2.6
KR,105630,4.06
KR,105740,3.0
KR,105840,0.7
KR,106190,1.26
KR,107590,1.0
KR,108230,2.1
KR,108320,2.6
KR,108380,0.66
KR,109080,3.1
KR,109860,4.02
KR,110790,7.8
KR,110990,2.8
KR,111110,4.77
KR,111380,4.78
KR,111710,4.5
KR,111770,2.4
KR,112040,1.2
KR,112610,2.3
KR,114090,3.2
KR,114840,2.2
KR,115310,1.8
KR,115440,0.68
KR,115500,1.8
KR,115570,3.08
KR,117580,3.1
KR,119500,1.7
KR,119610,3.88
KR,119850,0.5
KR,120030,0.5
KR,120110,2.1
KR,120240,3.6
KR,121060,4.9
KR,121440,4.7
KR,121600,0.47
KR,122310,3.2
KR,122870,0.5
KR,122900,5.6
KR,122990,7.8
KR,123410,2.4
KR,123700,5.2
KR,123860,1.4
KR,123890,5.7
KR,124560,4.6
KR,126560,4.7
KR,126600,1.2
KR,126640,5.6
KR,126700,0.5
KR,126720,3.6
KR,126730,2.8
KR,126880,1.3
KR,127980,2.82
KR,128660,5.2
KR,128820,4.72
KR,128940,0.4
KR,129260,3.9
KR,129890,17.5
KR,130580,3.9
KR,130660,3.5
KR,131090,3.8
KR,131180,9.1
KR,131220,2.6
KR,131290,0.79
KR,131370,0.4
KR,131970,0.3
KR,133750,3.3
KR,134060,5.9
KR,134380,4.76
KR,136410,1.27
KR,136480,1.3
KR,136490,2.06
KR,136540,6.6
KR,137400,0.47
KR,137950,1.51
KR,138070,1.43
KR,138930,4.3
KR,139130,4.4
KR,139480,2.4
KR,140520,6.7
KR,140860,0.24
KR,141000,1.35
KR,142210,2.6
KR,143160,2.2
KR,143240,5.2
KR,144960,1.0
KR,145720,1.2
KR,145990,3.5
KR,147830,4.7
KR,148150,2.0
KR,148930,0.5
KR,149010,3.76
KR,149950,2.0
KR,150900,2.2
KR,151860,2.34
KR,153490,2.9
KR,155650,2.0
KR,155660,6.5
KR,158430,0.8
KR,159580,1.22
KR,160980,2.68
KR,161000,1.6
KR,161390,3.1
KR,161890,1.2
KR,162300,1.2
KR,163560,2.2
KR,163730,0.97
KR,166090,0.7
KR,168360,0.2
KR,169330,3.5
KR,170030,4.82
KR,170790,4.0
KR,170900,1.3
KR,170920,0.5
KR,171090,1.9
KR,171120,4.5
KR,173130,3.6
KR,175330,4.4
KR,177830,2.81
KR,178780,7.9
KR,178920,1.7
KR,179290,1.8
KR,180640,0.2
KR,181710,1.6
KR,182360,4.5
KR,183190,1.98
KR,183300,1.3
KR,185750,0.6
KR,187220,4.08
KR,187270,1.6
KR,187870,4.5
KR,189300,0.3
KR,189690,2.0
KR,189980,7.6
KR,190510,3.9
KR,190650,7.47
KR,192080,2.2
KR,192250,1.99
KR,192400,5.1
KR,192440,2.19
KR,192650,3.2
KR,192820,1.9
KR,194370,4.31
KR,194700,2.8
KR,195870,1.6
KR,195940,0.8
KR,196170,0.1
KR,199730,6.26
KR,199820,1.05
KR,200130,0.6
KR,200670,2.2
KR,200780,2.1
KR,200880,1.93
KR,203450,2.9
KR,204020,4.9
KR,204320,1.2
KR,204610,7.2
KR,205100,2.4
KR,206640,1.1
KR,207490,0.4
KR,208140,7.6
KR,210540,3.7
KR,211050,2.83
KR,212560,2.4
KR,213500,5.95
KR,214150,1.8
KR,214180,2.9
KR,214320,5.8
KR,214370,0.67
KR,214390,0.8
KR,214420,0.6
KR,214430,0.58
KR,214450,0.9
KR,215000,6.5
KR,215200,6.6
KR,215360,2.5
KR,216050,4.4
KR,217190,1.0
KR,217500,1.5
KR,217590,0.3
KR,218410,1.2
KR,221800,2.33
KR,221980,4.6
KR,222800,0.2
KR,224110,3.1
KR,225530,1.7
KR,226320,2.41
KR,227840,3.9
KR,228850,5.7
KR,229640,0.61
KR,230360,4.4
KR,232680,1.9
KR,234080,4.4
KR,234300,4.0
KR,234340,1.3
KR,234690,1.5
KR,237690,0.3
KR,237750,2.68
KR,237820,4.1
KR,237880,1.9
KR,238200,0.0
KR,239890,4.0
KR,240810,0.3
KR,241520,0.5
KR,241560,2.7
KR,241590,1.0
KR,241690,0.5
KR,241710,0.5
KR,241770,1.01
KR,241790,1.0
KR,243070,3.3
KR,244880,4.18
KR,244920,3.07
KR,246690,1.06
KR,247540,0.05
KR,248070,0.4
KR,248170,0.7
KR,249420,0.55
KR,250000,5.0
KR,251270,1.7
KR,251630,1.8
KR,251970,0.84
KR,252500,1.23
KR,253590,1.04
KR,256150,4.5
KR,256630,0.96
KR,256840,1.5
KR,257720,0.8
KR,259630,1.7
KR,259960,0.9
KR,260660,1.7
KR,260930,2.4
KR,260970,2.6
KR,262260,1.0
KR,262840,4.1
KR,263020,3.2
KR,263690,3.25
KR,263770,3.1
KR,263860,1.7
KR,263920,5.2
KR,264450,4.9
KR,264660,2.72
KR,264850,0.7
KR,264900,3.1
KR,265520,1.7
KR,265560,1.85
KR,265740,1.3
KR,267250,3.0
KR,267260,0.7
KR,267270,0.5
KR,267290,4.1
KR,267790,2.0
KR,267850,4.3
KR,267980,3.63
KR,268280,2.2
KR,271560,2.8
KR,272210,0.5
KR,272290,1.1
KR,272550,3.5
KR,273640,1.21
KR,277070,5.0
KR,277410,1.6
KR,278470,1.7
KR,280360,2.8
KR,281740,0.2
KR,281820,1.0
KR,282330,3.3
KR,282880,1.2
KR,284740,4.7
KR,285130,2.0
KR,285490,13.1
KR,286940,3.1
KR,290120,4.1
KR,290270,1.3
KR,290650,0.1
KR,290740,0.7
KR,293480,2.2
KR,293580,1.5
KR,294570,1.0
KR,294870,2.9
KR,296640,3.8
KR,297890,1.45
KR,298020,4.3
KR,298040,0.4
KR,298050,1.3
KR,298540,5.43
KR,300720,5.2
KR,306200,4.6
KR,307280,2.2
KR,307930,2.45
KR,307950,0.4
KR,309960,3.2
KR,310200,0.68
KR,310870,1.5
KR,311320,0.9
KR,311390,1.1
KR,314140,0.7
KR,316140,4.4
KR,317400,3.4
KR,317450,2.1
KR,317850,0.76
KR,318000,1.3
KR,318010,5.7
KR,318020,2.6
KR,318410,5.67
KR,319400,0.28
KR,319660,1.84
KR,321260,3.5
KR,323410,1.99
KR,329180,0.9
KR,330730,4.99
KR,332370,3.2
KR,333050,1.8
KR,333620,0.6
KR,336370,0.13
KR,336570,0.69
KR,336680,1.8
KR,337930,4.0
KR,339770,6.9
KR,339950,11.8
KR,340570,3.1
KR,344820,5.77
KR,344860,4.5
KR,347740,1.98
KR,347890,0.9
KR,348210,0.72
KR,348350,2.36
KR,352090,11.82
KR,352700,2.0
KR,352820,0.13
KR,353190,11.4
KR,353200,0.8
KR,353810,3.3
KR,356860,0.42
KR,356890,0.9
KR,357230,2.94
KR,357780,0.53
KR,359090,1.1
KR,362990,1.1
KR,363260,2.53
KR,366030,1.34
KR,368770,0.82
KR,372170,0.26
KR,373170,2.7
KR,375500,1.8
KR,376180,4.19
KR,376290,0.79
KR,376300,0.85
KR,377450,2.2
KR,377740,3.82
KR,378850,2.3
KR,381970,7.3
KR,382480,0.56
KR,382800,4.3
KR,383220,3.6
KR,383310,0.6
KR,383800,3.3
KR,388050,1.24
KR,396470,1.02
KR,397810,3.0
KR,403550,0.77
KR,403870,1.7
KR,405100,3.0
KR,408920,3.5
KR,411080,2.17
KR,413390,1.49
KR,413630,1.2
KR,415380,4.12
KR,416180,0.6
KR,417200,0.1
KR,417500,3.07
KR,417790,2.4
KR,417970,1.51
KR,418470,4.0
KR,419120,2.45
KR,420570,2.85
KR,420770,2.6
KR,425040,1.97
KR,435570,1.0
KR,437730,0.1
KR,439260,0.3
KR,440290,5.1
KR,443060,2.2
KR,445180,1.4
KR,448280,0.6
KR,448710,0.9
KR,450330,0.8
KR,450950,0.9
KR,451250,2.1
KR,452160,1.8
KR,452300,1.0
KR,453340,4.4
KR,453860,3.3
KR,457370,2.64
KR,457550,0.57
KR,458650,3.0
KR,459100,4.2
KR,460850,5.7
KR,460860,4.4
KR,460930,0.7
KR,460940,0.34
KR,461300,6.0
KR,462520,1.38
KR,462860,0.8
KR,465480,2.0
KR,471820,3.5
KR,472850,2.8
KR,475430,1.0
KR,475460,1.3
KR,475560,2.3
KR,478560,9.3
KR,479960,4.54
KR,483650,1.7
KR,484870,1.8
KR,487570,1.63
KR,489460,0.74
KR,499790,0.8
KR,950140,1.7
KR,950190,6.18
